periodo,decil_cancer,decil_fraude,decil_pif,clientes,efectividad_esp_cancer,ic_5_cancer,ic_95_cancer,efectividad_esp_fraude,ic_5_fraude,ic_95_fraude,efectividad_esp_pif,ic_5_pif,ic_95_pif,grupos
201908,decil_9,decil_10,decil_8,100,0.0772238514173998,0.0392156862745098,0.127450980392157,0.0545544310046902,0.037037037037037,0.0716049382716049,0.0581775700934579,0.0419392523364486,0.0747663551401869,9-10-8
201908,decil_6,decil_7,decil_5,300,0.0489236790606654,0.0196078431372549,0.0882352941176471,0.0293827160493827,0.017283950617284,0.0444444444444444,0.0287450338864221,0.0163934426229508,0.0421545667447307,6-7-5
201908,decil_9,decil_10,decil_9,307,0.0772238514173998,0.0392156862745098,0.127450980392157,0.0545544310046902,0.037037037037037,0.0716049382716049,0.0640336527225987,0.0468384074941452,0.0843091334894614,9-10-9
201908,decil_5,decil_5,decil_3,1074,0.0117302052785924,0,0.0294117647058824,0.0155593973820696,0.00742574257425743,0.0247524752475248,0.0273428371114746,0.0163934426229508,0.0398126463700234,5-5-3
201908,decil_5,decil_3,decil_2,1412,0.0117302052785924,0,0.0294117647058824,0.0140740740740741,0.00493827160493827,0.0246913580246914,0.0177570093457944,0.00934579439252336,0.0280373831775701,5-3-2
201908,decil_1,decil_2,decil_2,81,0.00195503421309873,0,0.00980392156862745,0.0130864197530864,0.00493827160493827,0.0222222222222222,0.0177570093457944,0.00934579439252336,0.0280373831775701,1-2-2
201908,decil_8,decil_10,decil_9,794,0.0733137829912024,0.0392156862745098,0.117647058823529,0.0545544310046902,0.037037037037037,0.0716049382716049,0.0640336527225987,0.0468384074941452,0.0843091334894614,8-10-9
201908,decil_6,decil_8,decil_9,5022,0.0489236790606654,0.0196078431372549,0.0882352941176471,0.0330782522833868,0.0197530864197531,0.0493827160493827,0.0640336527225987,0.0468384074941452,0.0843091334894614,6-8-9
201908,decil_5,decil_5,decil_6,4538,0.0117302052785924,0,0.0294117647058824,0.0155593973820696,0.00742574257425743,0.0247524752475248,0.0399532710280374,0.0257009345794393,0.0560747663551402,5-5-6
201908,decil_5,decil_6,decil_8,2510,0.0117302052785924,0,0.0294117647058824,0.0197482103184399,0.00987654320987654,0.0320987654320988,0.0581775700934579,0.0419392523364486,0.0747663551401869,5-6-8
201908,decil_7,decil_10,decil_8,499,0.0654936461388074,0.0294117647058824,0.107843137254902,0.0545544310046902,0.037037037037037,0.0716049382716049,0.0581775700934579,0.0419392523364486,0.0747663551401869,7-10-8
201908,decil_9,decil_10,decil_10,2118,0.0772238514173998,0.0392156862745098,0.127450980392157,0.0545544310046902,0.037037037037037,0.0716049382716049,0.0941588785046729,0.0724299065420561,0.116822429906542,9-10-10
201908,decil_9,decil_10,decil_10,2118,0.0772238514173998,0.0392156862745098,0.127450980392157,0.0545544310046902,,,0.0941588785046729,,,9-10-10
201908,decil_5,decil_4,decil_5,4129,0.0117302052785924,0,0.0294117647058824,0.0157946692991115,0.00740740740740741,0.0271604938271605,0.0287450338864221,0.0163934426229508,0.0421545667447307,5-4-5
201908,decil_6,decil_8,decil_7,1474,0.0489236790606654,0.0196078431372549,0.0882352941176471,0.0330782522833868,0.0197530864197531,0.0493827160493827,0.0455713951857911,0.0304449648711944,0.063231850117096,6-8-7
201908,decil_5,decil_2,decil_2,2701,0.0117302052785924,0,0.0294117647058824,0.0130864197530864,0.00493827160493827,0.0222222222222222,0.0177570093457944,0.00934579439252336,0.0280373831775701,5-2-2
201908,decil_6,decil_10,decil_10,6181,0.0489236790606654,0.0196078431372549,0.0882352941176471,0.0545544310046902,0.037037037037037,0.0716049382716049,0.0941588785046729,0.0724299065420561,0.116822429906542,6-10-10
201908,decil_6,decil_10,decil_10,6181,0.0489236790606654,0.0196078431372549,0.0882352941176471,0.0545544310046902,0.037037037037037,0.0716049382716049,0.0941588785046729,,,6-10-10
201908,decil_6,decil_10,decil_8,1477,0.0489236790606654,0.0196078431372549,0.0882352941176471,0.0545544310046902,0.037037037037037,0.0716049382716049,0.0581775700934579,0.0419392523364486,0.0747663551401869,6-10-8
201908,decil_6,decil_4,decil_9,195,0.0489236790606654,0.0196078431372549,0.0882352941176471,0.0157946692991115,0.00740740740740741,0.0271604938271605,0.0640336527225987,0.0468384074941452,0.0843091334894614,6-4-9
201908,decil_6,decil_6,decil_10,392,0.0489236790606654,0.0196078431372549,0.0882352941176471,0.0197482103184399,0.00987654320987654,0.0320987654320988,0.0941588785046729,0.0724299065420561,0.116822429906542,6-6-10
201908,decil_7,decil_10,decil_10,6438,0.0654936461388074,0.0294117647058824,0.107843137254902,0.0545544310046902,0.037037037037037,0.0716049382716049,0.0941588785046729,0.0724299065420561,0.116822429906542,7-10-10
